ref_stop,departure_time,dep_sec,hour,headway_min
Shinjuku,17:45:00,63900,17,1
Shinjuku,17:46:00,63960,17,1
Shinjuku,17:48:00,64080,17,2
Shinjuku,17:49:00,64140,17,1
Shinjuku,17:51:00,64260,17,2
Shinjuku,17:52:00,64320,17,1
Shinjuku,17:53:00,64380,17,1
Shinjuku,17:55:00,64500,17,2
Shinjuku,17:56:00,64560,17,1
Shinjuku,17:58:00,64680,17,2
Shinjuku,17:59:00,64740,17,1
Shinjuku,18:00:00,64800,18,1
Shinjuku,18:02:00,64920,18,2
Shinjuku,18:03:00,64980,18,1
Shinjuku,18:04:00,65040,18,1
Shinjuku,18:05:00,65100,18,1
Shinjuku,18:07:00,65220,18,2
Shinjuku,18:08:00,65280,18,1
Shinjuku,18:09:00,65340,18,1
Shinjuku,18:10:00,65400,18,1
Shinjuku,18:11:00,65460,18,1
Shinjuku,18:13:00,65580,18,2
Shinjuku,18:14:00,65640,18,1
Shinjuku,18:17:00,65820,18,3
Shinjuku,18:18:00,65880,18,1
Shinjuku,18:20:00,66000,18,2
Shinjuku,18:21:00,66060,18,1
Shinjuku,18:22:00,66120,18,1
Shinjuku,18:23:00,66180,18,1
Shinjuku,18:24:00,66240,18,1
Shinjuku,18:26:00,66360,18,2
Shinjuku,18:27:00,66420,18,1
Shinjuku,18:30:00,66600,18,3
Shinjuku,18:31:00,66660,18,1
Shinjuku,18:33:00,66780,18,2
Shinjuku,18:34:00,66840,18,1
Shinjuku,18:35:00,66900,18,1
Shinjuku,18:36:00,66960,18,1
Shinjuku,18:37:00,67020,18,1
Shinjuku,18:38:00,67080,18,1
Shinjuku,18:39:00,67140,18,1
Shinjuku,18:42:00,67320,18,3
Shinjuku,18:43:00,67380,18,1
Shinjuku,18:45:00,67500,18,2
Shinjuku,18:46:00,67560,18,1
Shinjuku,18:47:00,67620,18,1
Shinjuku,18:48:00,67680,18,1
Shinjuku,18:50:00,67800,18,2
Shinjuku,18:52:00,67920,18,2
Shinjuku,18:53:00,67980,18,1
Shinjuku,18:54:00,68040,18,1
Shinjuku,18:55:00,68100,18,1
Shinjuku,18:57:00,68220,18,2
Shinjuku,18:58:00,68280,18,1
Shinjuku,18:59:00,68340,18,1
Shinjuku,19:00:00,68400,19,1
Shinjuku,19:01:00,68460,19,1
Shinjuku,19:02:00,68520,19,1
Shinjuku,19:03:00,68580,19,1
Shinjuku,19:04:00,68640,19,1
Shinjuku,19:05:00,68700,19,1
Shinjuku,19:06:00,68760,19,1
Shinjuku,19:08:00,68880,19,2
Shinjuku,19:10:00,69000,19,2
Shinjuku,19:12:00,69120,19,2
Shinjuku,19:13:00,69180,19,1
Shinjuku,19:14:00,69240,19,1
Shinjuku,19:15:00,69300,19,1
Shinjuku,19:16:00,69360,19,1
Shinjuku,19:17:00,69420,19,1
Shinjuku,19:18:00,69480,19,1
Shinjuku,19:21:00,69660,19,3
Shinjuku,19:22:00,69720,19,1
Shinjuku,19:25:00,69900,19,3
Shinjuku,19:27:00,70020,19,2
Shinjuku,19:29:00,70140,19,2
Shinjuku,19:30:00,70200,19,1
Shinjuku,19:32:00,70320,19,2
Shinjuku,19:34:00,70440,19,2
Shinjuku,19:35:00,70500,19,1
Shinjuku,19:36:00,70560,19,1
Shinjuku,19:37:00,70620,19,1
Shinjuku,19:38:00,70680,19,1
Shinjuku,19:39:00,70740,19,1
Shinjuku,19:43:00,70980,19,4
Shinjuku,19:44:00,71040,19,1
Shinjuku,19:47:00,71220,19,3
Shinjuku,19:48:00,71280,19,1
Shinjuku,19:49:00,71340,19,1
Shinjuku,19:50:00,71400,19,1
Shinjuku,19:53:00,71580,19,3
Shinjuku,19:54:00,71640,19,1
Shinjuku,19:55:00,71700,19,1
Shinjuku,19:57:00,71820,19,2
Shinjuku,19:58:00,71880,19,1
Shinjuku,20:00:00,72000,20,2
