hour_tokyo,trip_id_norm,stop_sequence,stop_id,stop_name_display,stop_name,start_date,rt_dt_utc,sched_dt_utc,delay_sec
2026-02-06T09:00:00Z,4200931G,1,4201,Osaki,大崎,20260206,2026-02-06T00:45:48Z,2026-02-06T00:45:00Z,48
2026-02-06T09:00:00Z,4200931G,2,4202,Gotanda,五反田,20260206,2026-02-06T00:47:47Z,2026-02-06T00:46:00Z,107
2026-02-06T09:00:00Z,4200931G,3,4203,Meguro,目黒,20260206,2026-02-06T00:49:47Z,2026-02-06T00:49:00Z,47
2026-02-06T09:00:00Z,4200931G,4,4204,Ebisu,恵比寿,20260206,2026-02-06T00:52:47Z,2026-02-06T00:51:00Z,107
2026-02-06T09:00:00Z,4200931G,5,4205,Shibuya,渋谷,20260206,2026-02-06T00:54:47Z,2026-02-06T00:54:00Z,47
2026-02-06T09:00:00Z,4200931G,6,4206,Harajuku,原宿,20260206,2026-02-06T00:57:17Z,2026-02-06T00:56:00Z,77
2026-02-06T09:00:00Z,4200931G,7,4207,Yoyogi,代々木,20260206,2026-02-06T00:59:16Z,2026-02-06T00:58:00Z,76
2026-02-06T10:00:00Z,4200931G,8,4208,Shinjuku,新宿,20260206,2026-02-06T01:01:48Z,2026-02-06T01:01:00Z,48
2026-02-06T10:00:00Z,4200931G,9,4209,Shin-Okubo,新大久保,20260206,2026-02-06T01:03:47Z,2026-02-06T01:03:00Z,47
2026-02-06T10:00:00Z,4200931G,10,4210,Takadanobaba,高田馬場,20260206,2026-02-06T01:06:16Z,2026-02-06T01:05:00Z,76
2026-02-06T10:00:00Z,4200931G,11,4211,Mejiro,目白,20260206,2026-02-06T01:07:47Z,2026-02-06T01:07:00Z,47
2026-02-06T10:00:00Z,4200931G,12,4212,Ikebukuro,池袋,20260206,2026-02-06T01:10:17Z,2026-02-06T01:09:00Z,77
2026-02-06T10:00:00Z,4200931G,13,4213,Otsuka,大塚,20260206,2026-02-06T01:12:47Z,2026-02-06T01:12:00Z,47
2026-02-06T10:00:00Z,4200931G,14,4214,Sugamo,巣鴨,20260206,2026-02-06T01:14:46Z,2026-02-06T01:14:00Z,46
2026-02-06T10:00:00Z,4200931G,15,4215,Komagome,駒込,20260206,2026-02-06T01:17:16Z,2026-02-06T01:16:00Z,76
2026-02-06T10:00:00Z,4200931G,16,4216,Tabata,田端,20260206,2026-02-06T01:19:17Z,2026-02-06T01:18:00Z,77
2026-02-06T10:00:00Z,4200931G,17,4217,Nishi-Nippori,西日暮里,20260206,2026-02-06T01:20:47Z,2026-02-06T01:20:00Z,47
